indicatorId,geoUnit,year,type,subtype,value
LR.AG15T99,BRA,2014,Data Status,Data reporting,"Literacy definition:
A literate person is regarded as someone who can read and write."
LR.AG15T99,BRA,2014,Source,Data sources,Source: Household Survey
LR.AG15T99,BRA,2015,Data Status,Data reporting,"Literacy definition:
A literate person is regarded as someone who can read and write."
LR.AG15T99,BRA,2015,Source,Data sources,Source: Household Survey
LR.AG15T99,BRA,2016,Data Status,Data reporting,"Literacy definition:
A literate person is regarded as someone who can read and write."
LR.AG15T99,BRA,2016,Source,Data sources,Source: Household Survey
LR.AG15T99,BRA,2017,Data Status,Data reporting,"Literacy definition:
A literate person is regarded as someone who can read and write."
LR.AG15T99,BRA,2017,Source,Data sources,Source: Household Survey
LR.AG15T99,BRA,2018,Data Status,Data reporting,"Literacy definition:
A literate person is regarded as someone who can read and write."
LR.AG15T99,BRA,2018,Source,Data sources,Source: Household Survey
LR.AG15T99,BRA,2019,Source,Data sources,"UIS based on HS - Continuous National Household Sample Survey: ILO Harmonized Microdata, https://ilostat.ilo.org/. Respondents aged 5 years and above were asked to self-assess their ability to read and write by responding yes or no."
LR.AG15T99,BRA,2020,Source,Data sources,"UIS based on HS - Continuous National Household Sample Survey: ILO Harmonized Microdata, https://ilostat.ilo.org/. Respondents aged 5 years and above were asked to self-assess their ability to read and write by responding yes or no."
LR.AG15T99,BRA,2021,Source,Data sources,"UIS based on HS - Continuous National Household Sample Survey: ILO Harmonized Microdata, https://ilostat.ilo.org/. Respondents aged 5 years and above were asked to self-assess their ability to read and write by responding yes or no."
LR.AG15T99,BRA,2022,Source,Data sources,"UIS based on HS - Continuous National Household Sample Survey: ILO Harmonized Microdata, https://ilostat.ilo.org/. Respondents aged 5 years and above were asked to self-assess their ability to read and write by responding yes or no."
LR.AG15T99,BRA,2023,Source,Data sources,"UIS based on HS - Continuous National Household Sample Survey: ILO Harmonized Microdata, https://ilostat.ilo.org/. Respondents aged 5 years and above were asked to self-assess their ability to read and write by responding yes or no."
