typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20220101","2022","52","2022","376","ISR","Israel","M","Import","792","TUR","Türkiye","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","5700533000",,"5700533000","4","false","true",
"C","A","20220101","2022","52","2022","376","ISR","Israel","M","Import","804","UKR","Ukraine","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","129515000",,"129515000","4","false","true",
"C","A","20220101","2022","52","2022","376","ISR","Israel","M","Import","818","EGY","Egypt","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","179307000",,"179307000","4","false","true",
"C","A","20220101","2022","52","2022","376","ISR","Israel","M","Import","842","USA","USA","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","9656860000",,"9656860000","4","false","true",
"C","A","20220101","2022","52","2022","364","IRN","Iran","X","Export","156","CHN","China","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"22425532180.6","22425532180.6","0","false","true",
"C","A","20220101","2022","52","2022","364","IRN","Iran","X","Export","231","ETH","Ethiopia","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"1885890","1885890","0","false","true",
"C","A","20220101","2022","52","2022","364","IRN","Iran","X","Export","586","PAK","Pakistan","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"1362813817","1362813817","0","false","true",
"C","A","20220101","2022","52","2022","364","IRN","Iran","X","Export","643","RUS","Russian Federation","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"691902046","691902046","0","false","true",
"C","A","20220101","2022","52","2022","364","IRN","Iran","X","Export","682","SAU","Saudi Arabia","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"14707761","14707761","0","false","true",
"C","A","20220101","2022","52","2022","364","IRN","Iran","X","Export","699","IND","India","0","W00","World","H6","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"1887791046","1887791046","0","false","true",
