source_id,source_name,source_url,event_date,country_codes,actors,event_type,confidence,notes
230:alliance,Correlates of War,https://correlatesofwar.org/data-sets/,1971-11-23,SAU,Yemen People's Republic,alliance,,end_date=1990-05-21
199:alliance,Correlates of War,https://correlatesofwar.org/data-sets/,1972-01-22,EGY,United Arab Emirates,alliance,,end_date=1979-03-31
199:alliance,Correlates of War,https://correlatesofwar.org/data-sets/,1972-01-22,SAU,United Arab Emirates,alliance,,
290:alliance,Correlates of War,https://correlatesofwar.org/data-sets/,1972-03-19,IND,Bangladesh,alliance,,end_date=1997-03-19
291:alliance,Correlates of War,https://correlatesofwar.org/data-sets/,1972-04-09,RUS,Iraq,alliance,,end_date=1990-09-12
294:nonaggression_pact,Correlates of War,https://correlatesofwar.org/data-sets/,1972-07-02,IND|PAK,Pakistan,nonaggression_pact,,
199:alliance,Correlates of War,https://correlatesofwar.org/data-sets/,1973-01-22,EGY,Egypt,alliance,,end_date=1979-03-31
199:alliance,Correlates of War,https://correlatesofwar.org/data-sets/,1973-01-22,SAU,Saudi Arabia,alliance,,
199:alliance,Correlates of War,https://correlatesofwar.org/data-sets/,1974-01-22,EGY,Egypt,alliance,,end_date=1979-03-31
199:alliance,Correlates of War,https://correlatesofwar.org/data-sets/,1974-01-22,SAU,Saudi Arabia,alliance,,
230:alliance,Correlates of War,https://correlatesofwar.org/data-sets/,1974-05-20,EGY,Egypt,alliance,,end_date=1979-03-31
230:alliance,Correlates of War,https://correlatesofwar.org/data-sets/,1974-05-20,SAU,Saudi Arabia,alliance,,
199:alliance,Correlates of War,https://correlatesofwar.org/data-sets/,1975-01-22,EGY,Egypt,alliance,,end_date=1979-03-31
199:alliance,Correlates of War,https://correlatesofwar.org/data-sets/,1975-01-22,SAU,Saudi Arabia,alliance,,
210:alliance,Correlates of War,https://correlatesofwar.org/data-sets/,1975-05-13,USA,Grenada,alliance,,
297:alliance,Correlates of War,https://correlatesofwar.org/data-sets/,1976-07-15,EGY,Egypt,alliance,,end_date=1989-06-10
298:entente,Correlates of War,https://correlatesofwar.org/data-sets/,1976-10-08,RUS,Angola,entente,,end_date=1991-12-25
210:alliance,Correlates of War,https://correlatesofwar.org/data-sets/,1977-02-22,USA,Suriname,alliance,,
299:alliance,Correlates of War,https://correlatesofwar.org/data-sets/,1977-03-31,RUS,Mozambique,alliance,,end_date=1991-12-25
301:entente,Correlates of War,https://correlatesofwar.org/data-sets/,1978-11-03,RUS,Vietnam,entente,,end_date=1991-12-25
210:alliance,Correlates of War,https://correlatesofwar.org/data-sets/,1979-05-22,USA,St. Lucia,alliance,,
308:alliance,Correlates of War,https://correlatesofwar.org/data-sets/,1979-10-25,RUS,Yemen People's Republic,alliance,,end_date=1990-05-22
309:nonaggression_pact,Correlates of War,https://correlatesofwar.org/data-sets/,1979-11-15,ETH,Ethiopia,nonaggression_pact,,end_date=1989-11-07
