country_code,year,metric_id,value,unit,source_url,source_name,raw_record_id,calculation,notes,sample_size,question_wording,response_mapping
UKR,2020,social_trust_score,30.6529,score,https://www.worldvaluessurvey.org/,World Values Survey,f68e361763a4ba8a,country_pct_yes,Q57;wvs_wave=7,1256,"Generally speaking, would you say that most people can be trusted?",1=most people can be trusted 2=need to be very careful; score=percent trusting
UKR,2020,support_for_immigration,2.5685,score,https://www.worldvaluessurvey.org/,World Values Survey,f101302b4e491a77,country_inverted_mean,Q130;wvs_wave=7,1154,Immigration policy preference for people coming to work,1=let anyone come to 4=prohibit; score=5-mean
UKR,2020,support_for_traditional_values,2.1770,score,https://www.worldvaluessurvey.org/,World Values Survey,7c05c963f3638f27,country_inverted_mean,Q45;wvs_wave=7,1051,Future changes: Greater respect for authority,1=good thing to 3=bad thing; score=4-mean
UKR,2020,trust_courts_score,3.1611,score,https://www.worldvaluessurvey.org/,World Values Survey,58a69f2e0aabd69b,country_mean,Q70;wvs_wave=7,1167,Confidence: Justice System/Courts,1=great deal to 4=none at all
UKR,2020,trust_government_score,3.1638,score,https://www.worldvaluessurvey.org/,World Values Survey,ec7329bdfcbde80d,country_mean,Q71;wvs_wave=7,1203,Confidence: The Government,1=great deal to 4=none at all
UKR,2020,trust_military_score,2.1059,score,https://www.worldvaluessurvey.org/,World Values Survey,4b60b80e7280a363,country_mean,Q65;wvs_wave=7,1227,Confidence: Armed Forces,1=great deal to 4=none at all
UKR,2020,trust_police_score,2.8134,score,https://www.worldvaluessurvey.org/,World Values Survey,6383ac5edd3fc4b1,country_mean,Q69;wvs_wave=7,1211,Confidence: The Police,1=great deal to 4=none at all
UKR,2020,willingness_to_fight_score,69.6714,score,https://www.worldvaluessurvey.org/,World Values Survey,e9597af14e85d402,country_pct_yes,Q151;wvs_wave=7,1065,Would you be willing to fight for your country?,1=yes 2=no; score=percent yes
USA,2017,attachment_to_country_score,2.9672,score,https://www.worldvaluessurvey.org/,World Values Survey,f450b2d8ebe7bbaa,country_inverted_mean,Q257;wvs_wave=7,2562,Feel close to your country,1=very close to 4=not close at all; score=5-mean
USA,2017,national_pride_score,1.8444,score,https://www.worldvaluessurvey.org/,World Values Survey,13dbb68cbcca8e1c,country_mean,Q254;wvs_wave=7,2519,How proud are you to be of nationality of this country?,1=very proud to 4=not at all proud; exclude 5=not nationality
USA,2017,religious_identity_strength,2.4581,score,https://www.worldvaluessurvey.org/,World Values Survey,2d27b2ac9c9c054e,country_inverted_mean,Q173;wvs_wave=7,2576,Are you a religious person?,1=religious 2=not religious 3=atheist; score=4-mean
USA,2017,social_trust_score,39.7371,score,https://www.worldvaluessurvey.org/,World Values Survey,12374b996cae2ab1,country_pct_yes,Q57;wvs_wave=7,2587,"Generally speaking, would you say that most people can be trusted?",1=most people can be trusted 2=need to be very careful; score=percent trusting
USA,2017,support_for_immigration,2.6561,score,https://www.worldvaluessurvey.org/,World Values Survey,fe94583d70739230,country_inverted_mean,Q130;wvs_wave=7,2556,Immigration policy preference for people coming to work,1=let anyone come to 4=prohibit; score=5-mean
USA,2017,support_for_traditional_values,2.4357,score,https://www.worldvaluessurvey.org/,World Values Survey,933d29bd11e86a4e,country_inverted_mean,Q45;wvs_wave=7,2580,Future changes: Greater respect for authority,1=good thing to 3=bad thing; score=4-mean
USA,2017,trust_courts_score,2.3872,score,https://www.worldvaluessurvey.org/,World Values Survey,29b3781d383bba2a,country_mean,Q70;wvs_wave=7,2567,Confidence: Justice System/Courts,1=great deal to 4=none at all
USA,2017,trust_government_score,2.9236,score,https://www.worldvaluessurvey.org/,World Values Survey,fb71016e35290024,country_mean,Q71;wvs_wave=7,2579,Confidence: The Government,1=great deal to 4=none at all
USA,2017,trust_military_score,1.9323,score,https://www.worldvaluessurvey.org/,World Values Survey,83e0544a9f395856,country_mean,Q65;wvs_wave=7,2572,Confidence: Armed Forces,1=great deal to 4=none at all
USA,2017,trust_police_score,2.1877,score,https://www.worldvaluessurvey.org/,World Values Survey,6451f36a518a09a2,country_mean,Q69;wvs_wave=7,2578,Confidence: The Police,1=great deal to 4=none at all
USA,2017,willingness_to_fight_score,59.6244,score,https://www.worldvaluessurvey.org/,World Values Survey,4b944f5cf631a1ff,country_pct_yes,Q151;wvs_wave=7,2556,Would you be willing to fight for your country?,1=yes 2=no; score=percent yes
